name,label,value,reporting_period,non_numeric_value
Microsoft Corporation,emissions_scope_2_location,4102445.0,2020,
Microsoft Corporation,female_employees,26.3,2020,
Microsoft Corporation,ceo_pay_ratio,257.0,2020,
Microsoft Corporation,renewable_energy,10244377.0,2020,
Microsoft Corporation,emissions_scope_2_market,228194.0,2020,
Microsoft Corporation,total_energy,10757166.0,2020,
Microsoft Corporation,emissions_scope_3,11239000.0,2020,
Microsoft Corporation,emissions_scope_1,118100.0,2020,
Microsoft Corporation,ceo_compensation_total,44321788.0,2020,
Microsoft Corporation,percentage_of_renewable_energy,95.233,2020,
Microsoft Corporation,carbon_footprint,11934100.0,2020,
Microsoft Corporation,emissions_scope_1,123704.0,2021,
Microsoft Corporation,female_employees,27.1,2021,
Microsoft Corporation,water_withdrawal,22.0,2021,
Microsoft Corporation,net_zero_goal,2030.0,2021,
Microsoft Corporation,ceo_pay_ratio,282.0,2021,
Microsoft Corporation,emissions_scope_3,13785000.0,2021,
Microsoft Corporation,renewable_energy,12969393.0,2021,
Microsoft Corporation,net_zero_ milestones,,2021,"Our commitment: carbon negative by 2030 and by 2050 to remove from the atmosphere an equivalent amount of all the carbon dioxide our company has emitted either directly or by our electricity consumption since we were founded in 1975. We will reduce our Scope 1 and 2 emissions to near zero by the middle of the decade through energy effciency work and reaching 100 percent renewable energy by 2025. By 2030, 100 percent of our electricity consumption will be matched by zero carbon energy purchases 100 percent of the time. Reducing value chain emissions By 2030, we will reduce our emissions_scope_3 by more than half from a 2020 baseline."
Microsoft Corporation,emissions_scope_2_location,4745197.0,2021,
Microsoft Corporation,total_energy,13481863.0,2021,
Microsoft Corporation,net_zero_goal_year,2030.0,2021,
Microsoft Corporation,Revenue,,2018,110.36B
Microsoft Corporation,Revenue,,2021,168.09B
Microsoft Corporation,Revenue,,2019,125.84B
Microsoft Corporation,Revenue,,2020,143.01B
Microsoft Corporation,Employees,221000.0,2021,
Microsoft Corporation,Revenue,,2022,198.27B
Microsoft Corporation,emissions_scope_2_market,163935.0,2021,
Microsoft Corporation,emissions_scope_1,117956.0,2019,
Microsoft Corporation,emissions_scope_2_location,3557518.0,2019,
Microsoft Corporation,emissions_scope_2_market,275420.0,2019,
Microsoft Corporation,emissions_scope_2_market,183329.0,2018,
Microsoft Corporation,emissions_scope_2_location,2946043.0,2018,
Microsoft Corporation,emissions_scope_1,99008.0,2018,
Microsoft Corporation,emissions_scope_2_market,139066.0,2017,
Microsoft Corporation,emissions_scope_2_location,2697554.0,2017,
Microsoft Corporation,emissions_scope_1,107452.0,2017,
Microsoft Corporation,"Ready for publishing (scope 1,2)",,2021,True
Microsoft Corporation,Revenue,,2017,90.0B
Microsoft Corporation,emissions_scope_3,11466000.0,2019,
Microsoft Corporation,emissions_scope_3,11745000.0,2018,
Microsoft Corporation,emissions_scope_3,10622000.0,2017,
Microsoft Corporation,Unadjusted_pay_gap,1.0,2020,
Microsoft Corporation,Unadjusted_pay_gap,1.001,2021,
Microsoft Corporation,minority_pay_ratio,1.006,2020,
Microsoft Corporation,minority_pay_ratio,1.006,2021,
Microsoft Corporation,Water_withdrawn_total,3966.639,2020,
Microsoft Corporation,Water_withdrawn_total,4478.0,2021,
Microsoft Corporation,revenue_in_usd,168.1,2021,
ASML Holding N.V.,emissions_scope_1,19000.0,2017,
ASML Holding N.V.,total_energy,1297.0,2016,
ASML Holding N.V.,emissions_scope_1,20400.0,2016,
ASML Holding N.V.,employee_turnover,4.4,2017,
ASML Holding N.V.,total_energy,1355.0,2018,
ASML Holding N.V.,emissions_scope_2_market,0.0,2019,
ASML Holding N.V.,total_energy,1321.0,2017,
ASML Holding N.V.,emissions_scope_1,17500.0,2018,
ASML Holding N.V.,ceo_pay_ratio,41.0,2019,
ASML Holding N.V.,female_employees,10.77,2018,
ASML Holding N.V.,emissions_scope_3,6500000.0,2019,
ASML Holding N.V.,renewable_energy,281944.44,2019,
ASML Holding N.V.,total_energy,379722.22,2019,
ASML Holding N.V.,employee_turnover,3.8,2020,
ASML Holding N.V.,ceo_pay_ratio,32.0,2018,
ASML Holding N.V.,total_energy,392222.22,2020,
ASML Holding N.V.,renewable_energy,310555.56,2020,
ASML Holding N.V.,female_employees,9.0,2017,
ASML Holding N.V.,ceo_pay_ratio,32.0,2017,
ASML Holding N.V.,emissions_scope_1,16900.0,2019,
ASML Holding N.V.,employee_turnover,4.7,2018,
ASML Holding N.V.,female_employees,8.64,2016,
ASML Holding N.V.,employee_turnover,3.9,2016,
ASML Holding N.V.,emissions_scope_3,8400000.0,2020,
ASML Holding N.V.,female_employees,12.0,2020,
ASML Holding N.V.,ceo_pay_ratio,31.0,2016,
ASML Holding N.V.,employee_turnover,4.3,2019,
ASML Holding N.V.,emissions_scope_2_market,0.0,2020,
ASML Holding N.V.,female_employees,11.23,2019,
ASML Holding N.V.,emissions_scope_1,15400.0,2020,
ASML Holding N.V.,ceo_pay_ratio,40.0,2020,
ASML Holding N.V.,ceo_compensation_total,4361.0,2019,
ASML Holding N.V.,ceo_compensation_total,3433.0,2018,
ASML Holding N.V.,ceo_compensation_total,4564.0,2020,
ASML Holding N.V.,ceo_compensation_total,3458.0,2016,
ASML Holding N.V.,ceo_compensation_total,3455.0,2017,
ASML Holding N.V.,Scope 2 (Undefined),141400.0,2019,
ASML Holding N.V.,Scope 2 (Undefined),139800.0,2020,
ASML Holding N.V.,emissions_scope_1,19300.0,2021,
ASML Holding N.V.,Scope 2 (Undefined),165100.0,2021,
ASML Holding N.V.,Scope 2 (Undefined),133000.0,2018,
ASML Holding N.V.,Scope 2 (Undefined),27600.0,2017,
ASML Holding N.V.,Scope 2 (Undefined),25500.0,2016,
ASML Holding N.V.,Employees,32627.0,2021,
ASML Holding N.V.,Revenue,,2018,10.94B
ASML Holding N.V.,Revenue,,2019,11.82B
ASML Holding N.V.,Revenue,,2020,13.98B
ASML Holding N.V.,Revenue,,2021,18.61B
ASML Holding N.V.,"Ready for publishing (scope 1,2)",,2021,True
ASML Holding N.V.,emissions_scope_3,8800000.0,2021,
ASML Holding N.V.,female_employees,12.65,2021,
ASML Holding N.V.,renewable_energy,91944.518,2021,
ASML Holding N.V.,emissions_scope_2_market,20100.0,2021,
ASML Holding N.V.,total_energy,469167.042,2021,
ASML Holding N.V.,Water_withdrawn_total,860.0,2020,
ASML Holding N.V.,Water_withdrawn_total,1041.0,2021,
ASML Holding N.V.,emissions_scope_2_location,141400.0,2019,
ASML Holding N.V.,emissions_scope_2_location,139800.0,2020,
ASML Holding N.V.,emissions_scope_2_location,165100.0,2021,
ASML Holding N.V.,net_zero_goal,2025.0,2021,
ASML Holding N.V.,Hazardous_waste,395.0,2021,
ASML Holding N.V.,Hazardous_waste,372.0,2020,
ASML Holding N.V.,Hazardous_waste,362.0,2019,
ASML Holding N.V.,ceo_pay_ratio,40.0,2021,
ASML Holding N.V.,Gender_balance_total,16.0,2021,
ASML Holding N.V.,Gender_balance_total,15.0,2020,
ASML Holding N.V.,Gender_balance_total,15.0,2019,
ASML Holding N.V.,employee_turnover,5.4,2021,
ASML Holding N.V.,Does the company have TCFD report?,,2021,True
ASML Holding N.V.,revenue_in_usd,18.6,2021,
UnitedHealth Group Incorporated,Employees,350000.0,2021,
UnitedHealth Group Incorporated,Revenue,,2018,226.25B
UnitedHealth Group Incorporated,Revenue,,2019,242.16B
UnitedHealth Group Incorporated,Revenue,,2020,257.14B
UnitedHealth Group Incorporated,Revenue,,2021,287.6B
UnitedHealth Group Incorporated,ceo_pay_ratio,321.0,2020,
UnitedHealth Group Incorporated,net_zero_goal,2035.0,2020,
UnitedHealth Group Incorporated,emissions_scope_1,24487.0,2020,
UnitedHealth Group Incorporated,emissions_scope_1,17709.0,2019,
UnitedHealth Group Incorporated,emissions_scope_1,13933.0,2018,
UnitedHealth Group Incorporated,emissions_scope_2_location,156751.0,2020,
UnitedHealth Group Incorporated,emissions_scope_2_market,148741.0,2020,
UnitedHealth Group Incorporated,emissions_scope_3,213495.0,2020,
UnitedHealth Group Incorporated,emissions_scope_2_location,153004.0,2019,
UnitedHealth Group Incorporated,emissions_scope_2_market,149418.0,2019,
UnitedHealth Group Incorporated,emissions_scope_3,429812.0,2019,
UnitedHealth Group Incorporated,emissions_scope_2_location,153754.0,2018,
UnitedHealth Group Incorporated,emissions_scope_2_market,155700.0,2018,
UnitedHealth Group Incorporated,emissions_scope_3,298680.0,2018,
UnitedHealth Group Incorporated,total_energy,381692.0,2020,
UnitedHealth Group Incorporated,renewable_energy,19647.0,2020,
UnitedHealth Group Incorporated,total_energy,375673.0,2019,
UnitedHealth Group Incorporated,renewable_energy,8216.0,2019,
UnitedHealth Group Incorporated,total_energy,365005.0,2018,
UnitedHealth Group Incorporated,renewable_energy,736.0,2018,
UnitedHealth Group Incorporated,voluntary_turnover_rate,12.0,2020,
UnitedHealth Group Incorporated,voluntary_turnover_rate,14.0,2019,
UnitedHealth Group Incorporated,voluntary_turnover_rate,13.0,2018,
UnitedHealth Group Incorporated,Employees,330000.0,2020,
UnitedHealth Group Incorporated,Employees,325000.0,2019,
UnitedHealth Group Incorporated,Employees,300000.0,2018,
UnitedHealth Group Incorporated,Gender_balance_of_the_companys_workforce,70.0,2020,
UnitedHealth Group Incorporated,Gender_balance_of_the_companys_workforce,69.0,2019,
UnitedHealth Group Incorporated,Gender_balance_of_the_companys_workforce,66.0,2018,
UnitedHealth Group Incorporated,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),30.0,2020,
UnitedHealth Group Incorporated,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27.3,2019,
UnitedHealth Group Incorporated,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27.3,2018,
UnitedHealth Group Incorporated,Unadjusted_pay_gap,0.0,2020,
UnitedHealth Group Incorporated,emissions_scope_1,97537.0,2021,
UnitedHealth Group Incorporated,emissions_scope_2_location,322472.0,2021,
UnitedHealth Group Incorporated,emissions_scope_2_market,290463.0,2021,
UnitedHealth Group Incorporated,emissions_scope_1,16570.0,2017,
UnitedHealth Group Incorporated,emissions_scope_2_location,156719.0,2017,
UnitedHealth Group Incorporated,emissions_scope_1,15838.0,2016,
UnitedHealth Group Incorporated,emissions_scope_2_location,161303.0,2016,
UnitedHealth Group Incorporated,"Ready for publishing (scope 1,2)",,2021,True
UnitedHealth Group Incorporated,Revenue,,2017,201.2B
UnitedHealth Group Incorporated,Revenue,,2016,148.6B
UnitedHealth Group Incorporated,emissions_scope_3,88465.0,2021,
UnitedHealth Group Incorporated,emissions_scope_3,127671.0,2017,
UnitedHealth Group Incorporated,emissions_scope_3,146373.0,2016,
UnitedHealth Group Incorporated,revenue_in_usd,387.2,2021,
DSM,employee_turnover,10.6,2020,
DSM,water_withdrawal,10.0,2020,
DSM,ceo_pay_ratio,19.0,2020,
DSM,female_employees,30.0,2020,
DSM,ceo_compensation_total,2617.0,2020,
DSM,carbon_footprint,13.24,2020,
DSM,percentage_of_renewable_energy,60.0,2020,
DSM,emissions_scope_3,9752000.0,2020,
DSM,emissions_scope_2_location,815000.0,2020,
DSM,emissions_scope_1,611800.0,2020,
DSM,voluntary_turnover_rate,4.8,2020,
DSM,net_zero_goal,2050.0,2020,
DSM,net_zero_ milestones,,2020,In August 2021 we raised the bar further by aiming to halve DSMs Scope 1 and 2 emissions by 2030 by targeting a 50% absolute reduction of the companys direct GHG emissions (Scope 1) and emissions from our purchased energy (Scope 2) by 2030.
DSM,net_zero_goal_year,2050.0,2020,
DSM,renewable_energy,991500.0,2020,
DSM,total_energy,5405100.0,2020,
Vestas Wind Systems A/S,emissions_scope_3,10590.0,2020,
Vestas Wind Systems A/S,female_employees,19.0,2020,
Vestas Wind Systems A/S,emissions_scope_1,83000.0,2020,
Vestas Wind Systems A/S,employee_turnover,11.9,2020,
Vestas Wind Systems A/S,emissions_scope_2_market,14000.0,2020,
Vestas Wind Systems A/S,percentage_of_renewable_energy,48.0,2020,
Vestas Wind Systems A/S,ceo_compensation_total,4078187.0,2020,
Vestas Wind Systems A/S,net_zero_goal,2030.0,2021,
Vestas Wind Systems A/S,emissions_scope_1,98000.0,2022,
Vestas Wind Systems A/S,emissions_scope_2_market,2000.0,2022,
Vestas Wind Systems A/S,emissions_scope_2_location,59000.0,2022,
Vestas Wind Systems A/S,emissions_scope_3,8177.0,2022,
Vestas Wind Systems A/S,total_energy,641000.0,2022,
Vestas Wind Systems A/S,total_energy,738000.0,2021,
Vestas Wind Systems A/S,total_energy,621000.0,2020,
Vestas Wind Systems A/S,total_energy,638000.0,2019,
Vestas Wind Systems A/S,total_energy,614000.0,2018,
Vestas Wind Systems A/S,renewable_energy,231000.0,2022,
Vestas Wind Systems A/S,renewable_energy,283000.0,2021,
Vestas Wind Systems A/S,renewable_energy,295000.0,2020,
Vestas Wind Systems A/S,renewable_energy,258000.0,2019,
Vestas Wind Systems A/S,renewable_energy,211000.0,2018,
Vestas Wind Systems A/S,emissions_scope_1,99000.0,2021,
Vestas Wind Systems A/S,emissions_scope_2_location,3000.0,2021,
Vestas Wind Systems A/S,emissions_scope_2_market,48000.0,2019,
Vestas Wind Systems A/S,emissions_scope_2_market,61000.0,2018,
Vestas Wind Systems A/S,emissions_scope_1,69000.0,2018,
Vestas Wind Systems A/S,emissions_scope_1,66000.0,2019,
Vestas Wind Systems A/S,emissions_scope_3,10560.0,2021,
Vestas Wind Systems A/S,emissions_scope_3,7830.0,2019,
Vestas Wind Systems A/S,Water_withdrawn_total,378.0,2021,
Vestas Wind Systems A/S,Water_withdrawn_total,341.0,2022,
Vestas Wind Systems A/S,Water_withdrawn_total,421.0,2020,
Vestas Wind Systems A/S,Water_withdrawn_total,473.0,2019,
Vestas Wind Systems A/S,Water_withdrawn_total,470.0,2018,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),25.0,2022,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27.0,2021,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27.0,2020,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),26.0,2019,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),15.0,2018,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_senior_management,19.0,2018,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_senior_management,19.0,2019,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_senior_management,19.0,2020,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_senior_management,21.0,2021,
Vestas Wind Systems A/S,Gender_balance_of_the_companys_senior_management,21.0,2022,
Vestas Wind Systems A/S,Hazardous_waste,4.0,2022,
