Column1,name,label,value,reporting_period
0,Microsoft Corporation,emissions_scope_1,"118,10032",2020
1,Microsoft Corporation,emissions_scope_2_location,4102445,2020
2,Microsoft Corporation,female_employees,26.3,2020
3,Microsoft Corporation,carbon_offsets,"612,927",2020
4,Microsoft Corporation,ceo_pay_ratio,257,2020
5,Microsoft Corporation,renewable_energy,"10,244,377",2020
6,Microsoft Corporation,emissions_scope_2_market,228194,2020
7,Microsoft Corporation,total_energy,"10,757,166",2020
8,Microsoft Corporation,emissions_scope_3,11239000,2020
9,Microsoft Corporation,emissions_scope_1,"118,100",
10,Microsoft Corporation,emissions_scope_1,"118,101",
11,Microsoft Corporation,emissions_scope_1,"118,100",
12,Microsoft Corporation,emissions_scope_1,11,
13,Microsoft Corporation,emissions_scope_1,111,
14,Microsoft Corporation,emissions_scope_1,"118,100",
15,Microsoft Corporation,emissions_scope_1,118100,2020
16,Microsoft Corporation,ceo_compensation_total,"44,321,788",2020
17,Microsoft Corporation,percentage_of_renewable_energy,95.233,2020
18,Microsoft Corporation,carbon_footprint,1.19341e+007,2020
19,Microsoft Corporation,emissions_scope_1,123704,2021
20,Microsoft Corporation,female_employees,27.1,2021
21,Microsoft Corporation,water_withdrawal,22,2021
22,Microsoft Corporation,plastic_elimination_actions,We reduced single-use plastics in our Microsoft product packaging by 18 percent. ,2021
23,Microsoft Corporation,net_zero_goal,2030,2021
24,Microsoft Corporation,ceo_pay_ratio,282,2021
25,Microsoft Corporation,emissions_scope_3,13785000,2021
26,Microsoft Corporation,renewable_energy,12969393,2021
27,Microsoft Corporation,carbon_offsets,292106,2021
28,Microsoft Corporation,net_zero_ milestones,"Our commitment: carbon negative by 2030 and by 2050 to remove from the atmosphere an equivalent amount of all the carbon dioxide our company has emitted either directly or by our electricity consumption since we were founded in 1975. We will reduce our Scope 1 and 2 emissions to near zero by the middle of the decade through energy effciency work and reaching 100 percent renewable energy by 2025. By 2030, 100 percent of our electricity consumption will be matched by zero carbon energy purchases 100 percent of the time. Reducing value chain emissions By 2030, we will reduce our emissions_scope_3 by more than half from a 2020 baseline.",2021
29,Microsoft Corporation,emissions_scope_2_location,4745197,2021
30,Microsoft Corporation,total_energy,13481863,2021
31,Microsoft Corporation,net_zero_goal_year,2030,2021
32,Microsoft Corporation,Revenue,110.36B,2018
33,Microsoft Corporation,Revenue,168.09B,2021
34,Microsoft Corporation,Revenue,125.84B,2019
35,Microsoft Corporation,Revenue,143.01B,2020
36,Microsoft Corporation,Employees,221000,2021
37,Microsoft Corporation,Risk:_Sustainalytics,15.24,2022
38,Microsoft Corporation,UN_GC_Business_ambition_for_1.5c,True,2021
39,Microsoft Corporation,UN_GC_Anti-Corruption_Working_Group,True,2021
40,Microsoft Corporation,UN_GC_CEO_Water_Mandate,True,2021
41,Microsoft Corporation,UN_GC_SBT_(approved),True,2021
42,Microsoft Corporation,UN_GC_Signatory_to_Women_Empowerment_Principles,True,2021
43,Microsoft Corporation,adult,No,2022
44,Microsoft Corporation,alcoholic,No,2022
45,Microsoft Corporation,catholic,No,2022
46,Microsoft Corporation,coal,No,2022
47,Microsoft Corporation,controversialWeapons,No,2022
48,Microsoft Corporation,furLeather,No,2022
49,Microsoft Corporation,gambling,No,2022
50,Microsoft Corporation,gmo,No,2022
51,Microsoft Corporation,militaryContract,No,2022
52,Microsoft Corporation,nuclear,No,2022
53,Microsoft Corporation,pesticides,No,2022
54,Microsoft Corporation,smallArms,No,2022
55,Microsoft Corporation,tobacco,No,2022
56,Microsoft Corporation,relatedControversy,Customer Incidents,2022
57,Microsoft Corporation,Animal_testing?,False,2022
58,Microsoft Corporation,UN_GC_Participant,True,2021
59,Microsoft Corporation,Arabesque_GC_score,54.35,2021
60,Microsoft Corporation,Arabesque_ESG_score,51.38,2021
61,Microsoft Corporation,Long-term_temperature,2°C,2021
62,Microsoft Corporation,Near-term_temperature,1.5°C,2021
63,Microsoft Corporation,S&P500,True,2021
64,Microsoft Corporation,Revenue,198.27B,2022
65,Microsoft Corporation,peerGroup,Software & Services,2022
66,Microsoft Corporation,emissions_scope_2_market,163935,2021
67,Microsoft Corporation,emissions_scope_1,117956,2019
68,Microsoft Corporation,emissions_scope_2_location,3557518,2019
69,Microsoft Corporation,emissions_scope_2_market,"275,420",2019
70,Microsoft Corporation,emissions_scope_2_market,183329,2018
71,Microsoft Corporation,emissions_scope_2_location,2946043,2018
72,Microsoft Corporation,emissions_scope_1,99008,2018
73,Microsoft Corporation,emissions_scope_2_market,139066,2017
74,Microsoft Corporation,emissions_scope_2_location,2697554,2017
75,Microsoft Corporation,emissions_scope_1,107452,2017
76,Microsoft Corporation,"Ready for publishing (scope 1,2)",True,2021
77,Microsoft Corporation,Revenue,90.0B,2017
78,Microsoft Corporation,nasdaq100,True,2021
79,Microsoft Corporation,Ready for publishing (scope 3),True,2021
80,Microsoft Corporation,emissions_scope_3,11466000,2019
81,Microsoft Corporation,emissions_scope_3,11745000,2018
82,Microsoft Corporation,emissions_scope_3,10622000,2017
83,Microsoft Corporation,Unadjusted_pay_gap,1,2020
84,Microsoft Corporation,Unadjusted_pay_gap,1.001,2021
85,Microsoft Corporation,minority_pay_ratio,1.006,2020
86,Microsoft Corporation,minority_pay_ratio,1.006,2021
87,Microsoft Corporation,Water_withdrawn_total,3966.639,2020
88,Microsoft Corporation,Water_withdrawn_total,4478,2021
89,Microsoft Corporation,revenue_in_usd,168.1,2021
90,ASML Holding N.V.,emissions_scope_1,19000,2017
91,ASML Holding N.V.,total_energy,"1,297",2016
92,ASML Holding N.V.,emissions_scope_1,20400,2016
93,ASML Holding N.V.,emissions_scope_2_market,,2017
94,ASML Holding N.V.,employee_turnover,4.4,2017
95,ASML Holding N.V.,total_energy,"1,355",2018
96,ASML Holding N.V.,emissions_scope_2_market,0,2019
97,ASML Holding N.V.,total_energy,"1,321",2017
98,ASML Holding N.V.,emissions_scope_1,17500,2018
99,ASML Holding N.V.,emissions_scope_2_market,,2016
100,ASML Holding N.V.,ceo_pay_ratio,41,2019
101,ASML Holding N.V.,female_employees,10.77,2018
102,ASML Holding N.V.,emissions_scope_3,6500000,2019
103,ASML Holding N.V.,renewable_energy,281944.44,2019
104,ASML Holding N.V.,total_energy,379722.22,2019
105,ASML Holding N.V.,employee_turnover,3.8,2020
106,ASML Holding N.V.,ceo_pay_ratio,32,2018
107,ASML Holding N.V.,total_energy,392222.22,2020
108,ASML Holding N.V.,renewable_energy,310555.56,2020
109,ASML Holding N.V.,female_employees,9,2017
110,ASML Holding N.V.,ceo_pay_ratio,32,2017
111,ASML Holding N.V.,emissions_scope_1,16900,2019
112,ASML Holding N.V.,employee_turnover,4.7,2018
113,ASML Holding N.V.,emissions_scope_2_market,,2018
114,ASML Holding N.V.,female_employees,8.64,2016
115,ASML Holding N.V.,employee_turnover,3.9,2016
116,ASML Holding N.V.,emissions_scope_3,8400000,2020
117,ASML Holding N.V.,female_employees,12,2020
118,ASML Holding N.V.,ceo_pay_ratio,31,2016
119,ASML Holding N.V.,employee_turnover,4.3,2019
120,ASML Holding N.V.,emissions_scope_2_market,0,2020
121,ASML Holding N.V.,female_employees,11.23,2019
122,ASML Holding N.V.,emissions_scope_1,15400,2020
123,ASML Holding N.V.,ceo_pay_ratio,40,2020
124,ASML Holding N.V.,ceo_compensation_total,4361,2019
125,ASML Holding N.V.,ceo_compensation_total,3433,2018
126,ASML Holding N.V.,ceo_compensation_total,4564,2020
127,ASML Holding N.V.,ceo_compensation_total,3458,2016
128,ASML Holding N.V.,ceo_compensation_total,3455,2017
129,ASML Holding N.V.,Scope 2 (Undefined),141400,2019
130,ASML Holding N.V.,Scope 2 (Undefined),139800,2020
131,ASML Holding N.V.,emissions_scope_1,19300,2021
132,ASML Holding N.V.,Scope 2 (Undefined),165100,2021
133,ASML Holding N.V.,Scope 2 (Undefined),133000,2018
134,ASML Holding N.V.,Scope 2 (Undefined),27600,2017
135,ASML Holding N.V.,Scope 2 (Undefined),25500,2016
136,ASML Holding N.V.,Arabesque_GC_score,67.85,2021
137,ASML Holding N.V.,Arabesque_ESG_score,69.76,2021
138,ASML Holding N.V.,Long-term_temperature,1.5°C,2021
139,ASML Holding N.V.,Near-term_temperature,1.5°C,2021
140,ASML Holding N.V.,nasdaq100,True,2021
141,ASML Holding N.V.,Employees,32627,2021
142,ASML Holding N.V.,Revenue,10.94B,2018
143,ASML Holding N.V.,Revenue,11.82B,2019
144,ASML Holding N.V.,Revenue,13.98B,2020
145,ASML Holding N.V.,Revenue,18.61B,2021
146,ASML Holding N.V.,adult,No,
147,ASML Holding N.V.,alcoholic,No,
148,ASML Holding N.V.,catholic,No,
149,ASML Holding N.V.,coal,No,
150,ASML Holding N.V.,controversialWeapons,No,
151,ASML Holding N.V.,furLeather,No,
152,ASML Holding N.V.,gambling,No,
153,ASML Holding N.V.,gmo,No,
154,ASML Holding N.V.,militaryContract,No,
155,ASML Holding N.V.,nuclear,No,
156,ASML Holding N.V.,pesticides,No,
157,ASML Holding N.V.,smallArms,No,
158,ASML Holding N.V.,tobacco,No,
159,ASML Holding N.V.,"Does_company_use_products_from_Soy,_Palm_Oil,_Mining,_Timber,_Fisheries,_Agriculture,_Cattle",False,
160,ASML Holding N.V.,"Ready for publishing (scope 1,2)",True,2021
161,ASML Holding N.V.,Ready for publishing (scope 3),True,2021
162,ASML Holding N.V.,emissions_scope_3,8800000,2021
163,ASML Holding N.V.,female_employees,12.65,2021
164,ASML Holding N.V.,renewable_energy,91944.518,2021
165,ASML Holding N.V.,emissions_scope_2_market,20100,2021
166,ASML Holding N.V.,total_energy,469167.042,2021
167,ASML Holding N.V.,Water_withdrawn_total,860,2020
168,ASML Holding N.V.,Water_withdrawn_total,1041,2021
169,ASML Holding N.V.,emissions_scope_2_location,141400,2019
170,ASML Holding N.V.,emissions_scope_2_location,139800,2020
171,ASML Holding N.V.,emissions_scope_2_location,165100,2021
172,ASML Holding N.V.,net_zero_goal,2025,2021
173,ASML Holding N.V.,Hazardous_waste,395,2021
174,ASML Holding N.V.,Hazardous_waste,372,2020
175,ASML Holding N.V.,Hazardous_waste,362,2019
176,ASML Holding N.V.,ceo_pay_ratio,40,2021
177,ASML Holding N.V.,Gender_balance_total,16,2021
